source,target,key,relationship_type,layer,confidence,trial_id,evidence_text,direction,temporal_marker
Margueritte,Chrestofle,0,SPOUSE_OF,kinship,1.0,w242,Margueritte femme Chrestofle l'Huillier,undirected,
Margueritte,Chrestofle,1,SPOUSE_OF,kinship,1.0,w244,Margueritte femme Chrestofle l'Huillier,undirected,
Margueritte,Charles Commis,0,SPOUSE_OF,kinship,1.0,w244,Margueritte femme Charles Commis,undirected,
Margueritte,Chrestofle Jean,0,SPOUSE_OF,kinship,1.0,w244,Margueritte femme Chrestofle Jean Pierre,undirected,
Margueritte,Jean Renolbard,0,SPOUSE_OF,kinship,1.0,w246,Margueritte femme Jean Renolbard,undirected,
Margueritte,Demenge Mathieu,0,SPOUSE_OF,kinship,1.0,w247,Margueritte femme Demenge Mathieu,undirected,
Margueritte,Claudon Forgeat,0,SPOUSE_OF,kinship,1.0,w249,Margueritte femme Claudon Forgeat,undirected,
Margueritte,Claudon Forgeat,1,SPOUSE_OF,kinship,1.0,w252,Margueritte femme Claudon Forgeat de la Neufville,undirected,
Margueritte,Claudon Estienne,0,WIDOW_OF,kinship,1.0,w249,Margueritte veuve Claudon Estienne,directed,
Margueritte,Claudon Estienne,1,WIDOW_OF,kinship,1.0,w252,Margueritte veuve Claudon Estienne,directed,
Margueritte,Nicolas Charrey,0,CHILD_OF,kinship,1.0,w254,Margueritte fille Nicolas Charrey,directed,
Margueritte,Pierron Jardolle,0,SPOUSE_OF,kinship,1.0,w256,Margueritte femme Pierron Jardolle,undirected,
Margueritte,Demenge Alix,0,SPOUSE_OF,kinship,1.0,w269,Margueritte femme Demenge Alix de Neufville,undirected,
Margueritte,Diez Thomas,0,SPOUSE_OF,kinship,1.0,w293,Margueritte femme Diez Thomas,undirected,
Margueritte,Jacot,0,SPOUSE_OF,kinship,1.0,w297,Margueritte femme Jacot le Seigneur,undirected,
Margueritte,Aubertin Polain,0,SPOUSE_OF,kinship,1.0,w302,Margueritte femme Aubertin Polain,undirected,
Margueritte,Nicolas Cordier,0,SPOUSE_OF,kinship,1.0,w302,Margueritte femme Nicolas Cordier,undirected,
Margueritte,Demenge,0,SPOUSE_OF,kinship,1.0,w302,Margueritte femme Demenge de Hurbache,undirected,
Margueritte,Chrestofle Lhuillier,0,SPOUSE_OF,kinship,1.0,w302,Margueritte femme Chrestofle Lhuillier,undirected,
Margueritte,Honnble Gabriel,0,SPOUSE_OF,kinship,1.0,w304,Margueritte femme Honnble Gabriel Mercier,undirected,
Margueritte,Charles Conninc,0,SPOUSE_OF,kinship,1.0,w305,Margueritte femme Charles Conninc,undirected,
Margueritte,Colas Thiebault,0,WIDOW_OF,kinship,1.0,w306,Margueritte veuve Colas Thiebault,directed,
Margueritte,Nicolas Geliat,0,SPOUSE_OF,kinship,1.0,w306,Margueritte femme Nicolas Geliat,undirected,
