name,canonical_id,entity_type,gender,outcome,locations,num_trial_appearances,is_super_witness,became_accused
mongeotte veuve,E00218,witness,female,,['George Gillet'],3,True,False
remy jean graniere,E00219,witness,male,,[],1,False,False
nicolas jacot michel,E00220,witness,male,,['Seuch'],1,False,False
thienel marc olry,E00221,witness,unknown,,['Mechaichamp'],1,False,False
arnould jacquel,E00222,witness,unknown,,[],1,False,False
jannon femme,E00223,witness,female,,['Arnould Jacquel'],4,True,False
francoise femme,E00224,witness,female,,['Pierot Blaise'],5,True,False
alix veuve,E00225,witness,female,,['Claudon Simonin'],2,False,False
jean estienne raon,E00226,witness,male,,['Xennenay'],3,True,False
marc olry,E00227,witness,unknown,,['Xennenay'],1,False,False
thienon blaise,E00228,witness,unknown,,['Xennenay'],1,False,False
claudine a jean boudart,E00229,witness,female,,['Xennenay'],1,False,False
jannon françois joliot,E00230,witness,female,,['Mesnil'],2,False,False
julienne feu pierot cor,E00231,witness,female,,['Xennenay'],1,False,False
claudotte femme,E00232,witness,female,,['Nicolas Boudart'],1,False,False
simon le,E00233,witness,unknown,,[],1,False,False
nicolas raon,E00234,witness,male,,['Xennenay'],1,False,False
claudotte,E00235,witness,female,,['Rainfaing'],6,True,False
nicolas graniere,E00236,witness,male,,[],1,False,False
jehan meullien,E00237,witness,unknown,,['Longuey'],1,False,False
nicolas le clerc,E00238,witness,male,,['Moulin'],6,True,False
marguerite femme,E00239,witness,female,,['Nicolas'],1,False,False
catherine femme,E00240,witness,female,,['Bertrand Graniere'],5,True,False
claudon cor,E00241,witness,male,,['Xennenay'],1,False,False
marguerite veuve,E00242,witness,female,,['Demengeon Blaise'],1,False,False
thienon feu jean rattel,E00243,witness,male,,['Xennenay'],1,False,False
jean thienon boudart,E00244,witness,male,,['Xennenay'],1,False,False
jacotte feu jacquel richard,E00245,witness,female,,['Seuch'],1,False,False
nicolas blaise ribelet de bussang. c. 55 testified to long reputation,E00246,witness,male,,['Bussang'],1,False,False
brice thiebauld grand claude,E00247,witness,male,,['Dempruz'],1,False,False
jean colin,E00248,witness,male,,['Bussang'],9,True,False
jean simonin,E00249,witness,male,,['Bussang'],2,False,False
claudon xalley,E00250,witness,male,,['Bussang'],1,False,False
catherine veuve,E00251,witness,female,,['Vincent Xalley'],6,True,False
jean feu chrestofle heckstein,E00252,witness,male,,[],1,False,False
toussaine arbin beustal,E00253,witness,female,,[],1,False,False
didier boileau,E00254,witness,unknown,,[],2,False,False
paccatte remy claudon bustal,E00255,witness,female,,[],1,False,False
honn nicolas go,E00256,witness,male,,[],1,False,False
nicolas feu mathieu la breuche,E00257,witness,male,,[],3,True,False
remy tousssain beustal,E00258,witness,unknown,,[],1,False,False
jean gerard domecourt,E00259,witness,male,,[],3,True,False
françois clau,E00260,witness,male,,[],1,False,False
nicolas martin colé,E00261,witness,male,,[],1,False,False
remy jan,E00262,witness,unknown,,[],2,False,False
