name,entity_type,gender,location,authority_role,num_trial_appearances,is_super_witness,personal_suspicion,was_witness_then_accused
B 8707 no 6; witch 258,accused,male,,,1,False,False,False
B 8707 no 7; witch 259,accused,male,Nompatelize,,1,False,False,False
B 8707 no 8; witch 260,accused,female,Nompatelize,,1,False,False,False
B 8707 no 9; witch 261,accused,female,Bois,,1,False,False,False
B 8708 no 1; witch 262,accused,female,Sachemont,,1,False,False,False
B 8708 no 2; witch 263,accused,unknown,,,1,False,False,False
B 8708 no 3; witch 264,accused,female,Brehimont,,1,False,False,False
B 8708 no 4: witch 265; Jean Marechal,accused,male,Boulain,,1,False,False,False
Jennon femme Claudon Girard de St Remy.,accused,female,St Remy,,1,False,False,False
B 8708 no 6; witch 267,accused,male,Brehimont,,1,False,False,False
B 8708 no 7; witch 268,accused,female,La Fosse,,1,False,False,False
B 8708 no 8; witch 269,accused,male,,,1,False,False,False
B 8708 no 9; witch 270,accused,female,Pajaille,,1,False,False,False
Witch 271; B 8708 no 10,accused,male,,,1,False,False,False
B 8712 no 1; witch 272,accused,male,Pajaille,,1,False,False,False
B 8712 no 2; witch 273,accused,female,Grattain,,1,False,False,False
B 8712 no 3; witch 274,accused,female,Saint Dié,,1,False,False,False
B 8712 no 4; witch 275,accused,female,Mazelay,,1,False,False,False
B 8712 no 5; witch 276,accused,male,Brehimont,,1,False,False,False
B 8712 no 6; witch 277,accused,male,Vivier,,1,False,False,False
Witch 278: B8715 no 1,accused,female,Didier Malley,,1,False,False,False
Witch 279; B 8715 no 2,accused,female,Sachemont,,1,False,False,False
Witch 280: B8715 no 3,accused,female,Vicq,,1,False,False,False
Witch 281; B8715 no 4,accused,male,Clemecy,,1,False,False,False
Witch 282; B 8715 no 5,accused,female,,,1,False,False,False
Witch 283; B 8715 no 6,accused,female,Raon,,1,False,False,False
B 8717 no 1; witch 284,accused,female,La Vacherie,,1,False,False,False
B 8717 no 2; witch 285,accused,female,,,1,False,False,False
B 8717 no 3; witch 286,accused,female,,,1,False,False,False
B 8717 no 5; witch 288,accused,male,Entre-deux-,,1,False,False,False
B 8717 no 6; witch 289,accused,female,Fouchifol,,1,False,False,False
B 8719 no 1; witch 290,accused,female,Moyenmoutier,,1,False,False,False
B 8719 no 2; witch 291,accused,female,Menil,,1,False,False,False
B 8719 no 3; witch 292,accused,female,Raon,,1,False,False,False
B 8721 no 1. Witch 293,accused,female,Mazelay,,1,False,False,False
B 8721 no 2. Witch 294; Jean Perrin de Giriviller,accused,male,Giriviller,,1,False,False,False
B 8721 no 3; Witch 295,accused,female,Wisembach,,1,False,False,False
B 8721 no 4. Witch 296; Hantzo Alexis of Wisembach,accused,unknown,Wisembach,,1,False,False,False
B 8721 no 5; Witch 297,accused,unknown,Norbepaire,,1,False,False,False
B 8721 no 6. Witch 298,accused,female,Le Paire,,1,False,False,False
B 8721 no 7. Witch 299; Babelon femme Mongeon Voirin de Moyenmoutier,accused,female,Moyenmoutier,,1,False,False,False
B 8721 no 8; Witch 300,accused,male,Chastay,,1,False,False,False
B 8724 no 1; witch 301,accused,unknown,Coincourt,,1,False,False,False
B 8724 no 2. Witch 302,accused,female,Raon,,1,False,False,False
B 8724 no 3. Witch 303,accused,male,Raon,,1,False,False,False
B 8724 no 4. Witch 304,accused,female,Raon,,1,False,False,False
B 8724 no 5. Witch 305,accused,female,Raon,,1,False,False,False
B 8726 no 1; witch 306,accused,female,,,1,False,False,False
B 8726 no 2; witch 307,accused,unknown,Raon,,1,False,False,False
B 8726 no 3; witch 308,accused,female,,,1,False,False,False
B 8730; witch 309,accused,female,Clefcy,,1,False,False,False
B 8735 no 2; witch 310,accused,unknown,Raon,,1,False,False,False
B 8735 no 4; witch 311,accused,female,Raon,,1,False,False,False
B 8735 no 5; witch 312,accused,female,Raon,,1,False,False,False
When she was in hands of executioner,accused,unknown,,,1,False,False,False
B 8736; witch 314,accused,female,,,1,False,False,False
B 8741; witch 315,accused,female,Mouriviller,,1,False,False,False
B 8939 ; witch 316,accused,female,St,,1,False,False,False
B 8941 no 1. Witch 317; Mengotte femme Pierre Gascon de St. Nicolas.,accused,female,St,,1,False,False,False
B 8941 no 2. Witch 318; Jaulne veuve Nicolas Vincent,accused,female,St Nicolas,,1,False,False,False
B 8945; witch 319,accused,female,Saint Nicolas,,1,False,False,False
B 8947; witch 320,accused,female,St Nicolas,,1,False,False,False
B 8959 no 1; witch 321,accused,female,Saint Nicolas,,1,False,False,False
B 8959 no 2; witch 322,accused,female,St Nicolas,,1,False,False,False
B 8961 no 1. Witch 323,accused,female,St Nicolas,,1,False,False,False
B 8979 no 1; witch 324,accused,female,St Nicolas,,1,False,False,False
B 8979 no 2; witch 325,accused,female,St,,1,False,False,False
B 8979 no 3; witch 326,accused,female,St Nicolas,,1,False,False,False
B 8979 no 4; witch 327,accused,female,St Nicolas,,1,False,False,False
B 8979 no 5; witch 328,accused,female,St,,1,False,False,False
B 8986 no 1; witch 329,accused,female,St Nicolas,,1,False,False,False
B 8986 no 2; witch 330,accused,female,Saint Nicolas,,1,False,False,False
B 9554 no 1; witch 331,accused,female,Ste Marie,,1,False,False,False
B 9554 no 2; witch 332,accused,female,Grand Rombach,,1,False,False,False
B 9554 no 3; witch 333,accused,female,Grand Rombach,,1,False,False,False
B 9573; witch 334,accused,female,Ste Croix,,1,False,False,False
B 9592; witch 335,accused,male,Fouchy,,1,False,False,False
Vosges G 707 no 1; Witch 336,accused,male,St Lyenard,,1,False,False,False
Vosges G 707 no 2; witch 337,accused,female,,,1,False,False,False
Vosges G 708 no 1; witch 338,accused,female,Faing,,1,False,False,False
Vosges G 710: witch 339,accused,female,,,1,False,False,False
Vosges 3 C 239; Witch 340,accused,female,Badonviller,,1,False,False,False
Vosges 3 C 239: Witch 341,accused,unknown,Pexonne,,1,False,False,False
Witch 343; Dumont,accused,male,Hesse,,1,False,False,False
Witch 344: Vosges G563,accused,female,Giriviller,,1,False,False,False
Vosges G706: witch 345,accused,female,Monteigneiz,,1,False,False,False
A.D. Moselle,accused,female,,,1,False,False,False
Nicolas Parmentier,witness,male,,,2,False,False,False
Odille femme Claudin Thieriat,witness,female,,,1,False,False,False
Barbellon femme Nicolas Mulnier,witness,female,,,1,False,False,False
Catherine femme Didier Moictrier,witness,female,,,1,False,False,False
Claude Guerard,witness,male,,,1,False,False,False
Laurent Doullat,witness,unknown,,,1,False,False,False
Jean Hangney,witness,male,,,2,False,False,False
Dyon femme Jean Vosgien,witness,female,,,1,False,False,False
Jean Vosgien,witness,male,,,1,False,False,False
Anthoine Rougier,witness,unknown,,,1,False,False,False
Claudin Thienat alias Mallenoy,witness,unknown,,,1,False,False,False
Mengin Cuysenier,witness,unknown,,,1,False,False,False
Didier Moictrier,witness,unknown,,,2,False,False,False
Magdellaine femme Warin Cherrier,witness,female,,,1,False,False,False
Damien Boullengier,witness,unknown,,,1,False,False,False
Demange Rougier,witness,unknown,,,2,False,True,False
Catherine femme Colin Douche,witness,female,,,1,False,False,False
Thoussainct Bournery,witness,unknown,,,1,False,False,False
Nicolas Berger,witness,male,,,1,False,False,False
Didier Florentin,witness,unknown,,,1,False,False,False
Crestaille Thieriet,witness,unknown,,,1,False,False,False
Bastien Arracourt,witness,male,,,1,False,False,False
Izabel femme Demange Rougier,witness,female,,,1,False,False,False
Le maire Anthoine Rougier,witness,unknown,,mayor,1,False,False,False
Mengin Dourche,witness,unknown,,,1,False,False,False
Mengeotte femme du precedent,witness,female,,,3,True,False,False
Nicolas Saffrois,witness,male,,,1,False,False,False
Barbe femme du precedent,witness,female,,,4,True,False,False
Jean Symonin,witness,male,,,1,False,False,False
Barbellon femme Demange Malgrais,witness,female,,,1,False,False,False
Catherine femme Nicolas Villaume,witness,female,,,1,False,False,False
Mengeotte,witness,female,,,2,False,False,False
Odille femme Jean Hangney,witness,female,,,1,False,False,False
Chrestofle Austien,witness,unknown,,,1,False,True,False
Jean Tanaire,witness,male,,,1,False,False,False
Françoise femme Abraham Simon,witness,female,,,1,False,False,False
Benoiste femme Didier Bruant,witness,female,,,1,False,False,False
Magdellaine femme Humbert Houbin,witness,female,,,1,False,False,False
Jennotte veuve Gerardin Rodeans,witness,female,,,1,False,False,False
Tante Libar veuve Claude le Boeuf,witness,female,,,1,False,False,False
Jacquemin Maire Gerard,witness,unknown,,,1,False,True,False
Jennatte femme du precedent,witness,female,,,1,False,False,False
Françoise femme Chrestofle Austien,witness,female,,,1,False,False,False
Alix femme Jean Jerome,witness,female,,,1,False,False,False
Zabillon femme Nicolas Remy,witness,female,,,1,False,False,False
Enguel femme Aubert Demenge,witness,female,,,1,False,True,False
Margueritte femme Simon Thieriet,witness,female,,,1,False,False,False
Françoise femme Nicolas Brunquart,witness,female,,,1,False,False,False
Jehenne femme Jean Sernay,witness,female,,,1,False,False,False
Mongeatte femme François Tanaire,witness,female,,,1,False,False,False
Zabel femme Dieudonné Cardillon,witness,female,,,1,False,False,False
Claudon femme Nicolas Gerardin,witness,female,,,1,False,True,False
Jennon femme Thomas Gerardin,witness,female,,,1,False,False,False
Claudon veuve Jean Munisier,witness,female,,,1,False,False,False
Enguel Enguel,witness,unknown,,,1,False,False,False
Thomas Gerardin,witness,unknown,,,2,False,False,False
Colas Vallentine,witness,unknown,,,1,False,False,False
Jean Jennat,witness,male,,,1,False,False,False
Jehenne femme du precedent,witness,female,,,2,False,False,False
Symon Thieriet,witness,unknown,,,1,False,False,False
Aynel veuve Jean Abriat,witness,female,,,1,False,False,False
Betrix femme Jean Didier,witness,female,,,1,False,True,False
Didier Bregeat,witness,unknown,,,1,False,False,False
Anne jeune fille,witness,female,,,1,False,False,False
Françoise jeune fille,witness,female,,,1,False,False,False
Saulfroy Poirsin,witness,unknown,,,1,False,False,False
Claudatte George femme Nicolas Marchal,witness,female,,,1,False,False,False
Dedie veuve Prins Barheur,witness,female,,,1,False,False,False
Jehenne femme Didier Bregeat,witness,female,,,1,False,False,False
Jennon femme Cesar Jennat,witness,female,,,1,False,False,False
Perise femme Nicolas Gaspart,witness,female,,,1,False,False,False
Toussainct Friche,witness,unknown,,,1,False,False,False
Barbe femme Jean Bregeat,witness,female,,,1,False,False,False
Cesar Jannat,witness,unknown,,,1,False,False,False
Didier Demenge alias le Parle,witness,male,,,1,False,False,False
Françoise femme du precedent,witness,female,,,2,False,False,False
Nicolas jeune fils,witness,male,,,1,False,False,False
Noble Nicolas Regnault,witness,male,,,1,False,False,False
Demenge Blancpieds,witness,male,,,1,False,False,False
Didier Grand Didier,witness,unknown,,,1,False,False,False
Jean des Vaulx,witness,male,,,1,False,False,False
Claude Jacquat,witness,male,,,1,False,False,False
Jehenne femme Pierre Vigneron,witness,female,,,1,False,False,False
Margueritte Didon,witness,unknown,,,1,False,False,False
Mathis Jacquart,witness,unknown,,,1,False,False,False
Catherine femme du precedent,witness,female,,,8,True,False,False
Anne Caillet,witness,female,,,1,False,False,False
herbs,witness,unknown,,,1,False,False,False
"was not confronted when she said her
only suspicions came from remarks at mill.",witness,unknown,,,1,False,False,False
"denied
telling her she had not eaten pears",witness,unknown,,,1,False,False,False
Demenge Anguevin dit Barbier,witness,male,,,1,False,False,False
Landry Jehennel,witness,unknown,,,1,False,False,False
