person1,person2,relationship_type,trial_id,evidence_text,confidence
Barbelline,Holbin,spouse_wife,w179,"B 8682 no 1; witch 179, Barbelline femme Holbin le Jalley, des Trois Maisons",1.0
Marie Alexey,Jean Chastellain,spouse_wife,w180,"B 8682 no 2; witch 180, Marie Alexey femme Jean Chastellain, de Colroy",1.0
Georgeatte,Jean Pelisson,child_daughter,w182,"B 8682 no 4; witch 182, Georgeatte fille Jean Pelisson, de Moriviller",1.0
Didielle,Demenge Simmonel,spouse_wife,w183,"B 8682 no 5; witch 183, Didielle femme Demenge Simmonel, de St Marguerite",1.0
Colatte,Jean,spouse_widow,w184,"B 8682 no 6; witch 184, Colatte veuve Jean le Parmentier, de Girompaire",1.0
Agathe,Colas Jobay,spouse_wife,w185,"B 8682 no 7; witch 185, Agathe femme Colas Jobay du Faing",1.0
Claudatte,Jean Parmentier,spouse_wife,w187,"B 8682 no 9; witch 187, Claudatte femme Jean Parmentier, de Ste Marguerite",1.0
Marion,Demenge Arnoulx,spouse_widow,w189,"B 8684 no 2. Witch 189; Marion veuve Demenge Arnoulx, de Sauceray",1.0
Jean,Demenge Arnoulx,child_son,w191,"B 8684 no 4; Witch 191, Jean fils Demenge Arnoulx de Sauceray",1.0
Barbelline,Demenge Mareschal,spouse_widow,w192,"B 8684 no 5; Witch 192, Barbelline veuve Demenge Mareschal, de Saulceray",1.0
Catherine,Jean Bertremin,spouse_wife,w193,"B 8684 no 6. Witch 193, Catherine femme Jean Bertremin de Clefcy",1.0
Mengeatte,Jean Babé,spouse_wife,w195,"B 8684 no 8. Witch 195, Mengeatte femme Jean Babé, de Sarupt",1.0
Claudatte,Mengeon Henry,spouse_widow,w197,B 8684 no 10. Witch 197; Claudatte veuve Mengeon Henry and Dieudonnée femme,1.0
Mengeotte,Jacot Blaise,spouse_wife,w199,"B 8687 no 1; witch 199, Mengeotte femme Jacot Blaise, du Viel Marché",1.0
Marguitte,Jean Jacquot,spouse_wife,w200,"B 8687 no 2; witch 200, Marguitte femme Jean Jacquot, de la Vacherie",1.0
Claudette,Claudon Jacquemin,spouse_wife,w201,"B 8687 no 3; witch 201, Claudette femme Claudon Jacquemin, du Vieux Marché",1.0
Penthecoste,Georgeon Didier,spouse_wife,w202,"B 8687 no 4; witch 202, Penthecoste femme Georgeon Didier Miette de la Rochatte",1.0
Dieudonnée,Pierre Chrestien,spouse_wife,w203,"B 8687 no 5; witch 203, Dieudonnée femme Pierre Chrestien de Moriviller",1.0
Mengeatte,Colas Lienard,spouse_widow,w204,"B 8687 no 6; witch 204, Mengeatte veuve Colas Lienard de la Rochatte",1.0
Georgeatte,Jean Grand,spouse_widow,w205,"B 8687 no 7; witch 205, Georgeatte veuve Jean Grand Didier, de la Vacherie",1.0
Aley,Jean Perrin,spouse_wife,w206,"B 8687 no 8; witch 206, Aley femme Jean Perrin, du Mesnil",1.0
Jeannon,Valentin Poirot,spouse_widow,w211,"Witch 211; B 8689 no 3, Jeannon veuve Valentin Poirot, Moyemont",1.0
Marie,Martin Oudinat,spouse_widow,w213,"B 8691 no 2; witch 213, Marie veuve Martin Oudinat, de Raon",1.0
Alix,Demenge Marond,spouse_widow,w214,"B 8691 no 3; witch 214, Alix veuve Demenge Marond, de Raon",1.0
Babelon,Hanry Jean,spouse_wife,w216,"B 8691 no 5; witch 216, Babelon femme Hanry Jean Hanry, of St Blaise",1.0
Marguitte,Dieudonné Marond,spouse_wife,w218,"B 8691 no 8; witch 218, Marguitte femme Dieudonné Marond, de la Neveville-les-",1.0
Margueritte,Mongeon Colas,spouse_wife,w219,"B 8691 no 7; witch 219, Margueritte femme Mongeon Colas Jacquat, de la",1.0
Claudel,Claudon Jean,child_son,w220,"B 8691 no 9; witch 220, Claudel fils Claudon Jean Perrin de Remémont",1.0
Jennon,Nicolas Bresson,spouse_widow,w222,"B 8691 no 11; witch 222, Jennon veuve Nicolas Bresson dit Neuxat, de St Blaise",1.0
Mongeatte,Thoussainct,spouse_wife,w223,"B 8691 no 12; witch 223, Mongeatte femme Thoussainct de Leuce, de la Neuveille-",1.0
Catherine,Didier Jean,spouse_wife,w224,"B 8691 no 13; witch 224, Catherine femme Didier Jean Charpentier, de Remémont",1.0
Jaulne,Claudon Curien,spouse_wife,w225,"B 8691 no 14; witch 225, Jaulne femme Claudon Curien, de St Blaise",1.0
Catherine,Jean Demenge,spouse_widow,w227,"B 8691 no 16; witch 227, Catherine veuve Jean Demenge, d'Anozel",1.0
Marion,Demenge Husson,spouse_wife,w230,"B 8693 no 1; witch 230, Marion femme Demenge Husson, de Colroy",1.0
