node,degree,betweenness,rank_type,period
"B 8707 no 2; witch 254, Bastien Stablo de la Bolle",27,0.001101000310538549,degree,1610-1614
"B 8708 no 8; witch 269, Jean Jacques Gerardin de l",26,0.001019444731980138,degree,1610-1614
"B 8712 no 6; witch 277, Claudon Marchal du Vivier",25,0.005232104039824216,degree,1610-1614
"B 3347 no 2; witch 049, Jean Godot de Domjevin",23,0.007625446595211432,degree,1610-1614
"B 8707 no 6; witch 258, Nicolas Pairson of le Vivi",23,0.000793598514433769,degree,1610-1614
"B 8712 no 5; witch 276, Dieudonné Jean Thierion, o",22,0.0007245899479612674,degree,1610-1614
"B 3345; witch 047, Jeanne femme Demenge Mercier, d",14,0.01348333286282038,betweenness,1610-1614
Jehenne femme du precedent,2,0.011621669944573573,betweenness,1610-1614
Pierson André,2,0.007142386629903921,betweenness,1610-1614
"Witch 271; B 8708 no 10, Jean Gerardin Haxo de la ",16,0.006792638668009197,betweenness,1610-1614
"B 8708 no 9; witch 270, Laurence femme Vincent Ban",20,0.006289189808062082,betweenness,1610-1614
"B 8708 no 7; witch 268, Marguitte femme Girardin H",9,0.005556757977547122,betweenness,1610-1614
"B 8724 no 2. Witch 302, Jennon femme Demenge le Ma",54,0.008246291974340335,degree,1615-1619
"B 3789 No 3; Witch 060, Petroniere femme Jean Varn",35,0.0015176442080830498,degree,1615-1619
"B 8721 no 3; Witch 295, Catherine femme Bertremin ",26,0.0023835941385774956,degree,1615-1619
"B 8721 no 8; Witch 300, Nicolas Claudon de Chastay",25,0.0007651987603780082,degree,1615-1619
"B 8719 no 3; witch 292, Dion veuve Jean Remy de Ra",24,0.0007039828595477676,degree,1615-1619
"B 8726 no 2; witch 307, Gaspard Didier, marchal, d",23,0.005807858591269082,degree,1615-1619
B 8721 no 7. Witch 299; Babelon femme Mongeon Voir,22,0.0016069173967938172,degree,1615-1619
"B 8717 no 5; witch 288, Demenge Mathis, of Entre-d",21,0.001045771639183278,degree,1615-1619
"B 3789 no 2; witch 059, Georgeatte femme Colas Her",20,0.0009692517631454771,degree,1615-1619
"B 3804 no 2; Witch 067, Demenge Demongeot, of Domp",20,0.0021323538789200496,degree,1615-1619
Didier Ferry,2,0.00468301641351341,betweenness,1615-1619
"B 3792 no 2; Witch 063, Jean Gerardin de Dompierre",14,0.0025787198224738878,betweenness,1615-1619
Mongeotte femme Jean Sebille,2,0.0021604111668005765,betweenness,1615-1619
"B 8724 no 3. Witch 303, Jean Colin de Raon",11,0.0021042965910395227,betweenness,1615-1619
Demenge Antoine de Dompierre,3,0.0019487061764293277,betweenness,1615-1619
Nicolas Jean Ferry de Dompierre,2,0.0017344505235234854,betweenness,1615-1619
"B 3804 no 3; Witch 068, Mengeon Lausson de Fontena",55,0.012244595062583486,degree,1620-1624
B 6760. Witch 109; Mengeatte veuve Grand Jacques d,37,0.03314698461386237,degree,1620-1624
"B 2583 no 4; witch 018, Mengeotte femme Nicolas Co",30,0.03359224261613813,degree,1620-1624
nan,29,0.003467240554758489,degree,1620-1624
"B 3804 no 1; Witch 066, Nicolas Adam de Dompierre",19,0.00140998367387325,degree,1620-1624
"B 3358 no 2; witch 051, Jeannon, femme Gerardin Ma",18,0.001261564339781329,degree,1620-1624
"B 2583 no 5; witch 019, Jean Brice George de Xouar",17,0.01946904357481709,degree,1620-1624
"B 4126 no 2 Witch 079, Claudon du Puy",15,0.0008657794488695394,degree,1620-1624
"B 7134 no 1; witch 112, Jacquot Petit Jacquot, de ",15,0.0008657794488695394,degree,1620-1624
"B 8726 no 1; witch 306, Margueritte femme Cesar le",15,0.0008657794488695394,degree,1620-1624
Jean Demenge,2,0.02396972245584525,betweenness,1620-1624
Mathieu Mathieu,2,0.018032949092168408,betweenness,1620-1624
Jean Mathieu le viel,2,0.01085110242583156,betweenness,1620-1624
"B 7134 no 3; witch 114, Annon Bourguignotte, femme",14,0.010826365870149575,betweenness,1620-1624
"B 2583 no 7; witch 021, Royne veuve Dilan Parmenti",10,0.004283546892264061,betweenness,1620-1624
"B 8741; witch 315, Margueritte femme Didier Perisc",21,0.02753737214791503,degree,1625-1629
"B 2211 no 1; witch 011, Margueritte femme Jean Est",17,0.017833726724364018,degree,1625-1629
"B 4998; witch 090, Gillette veuve Bastien Jean Pag",16,0.015735641227380016,degree,1625-1629
"B 4126 no 3 Witch 080, Claudon Martin",11,0.007212168895882507,degree,1625-1629
"B 7137 no 1; witch 115, Jennon Villemin dite la Ga",10,0.005900865460267506,degree,1625-1629
"B 7137 no 3; witch 117, Margo femme Jean Georges, ",9,0.004720692368214005,degree,1625-1629
"B 8736; witch 314, Sebille fille Didier Pescheur d",8,0.0036716496197220037,degree,1625-1629
de Parey-sous-Montfort,4,0.0005245213742460005,degree,1625-1629
"B 7137 no 2; witch 116, Jennon veuve Florentin Bou",3,0.0003933910306845004,degree,1625-1629
B 2211 no 1; witch 011,2,0.0,degree,1625-1629
Margueritte femme Demenge Huguenin le jeune,1,0.0,betweenness,1625-1629
"Vosges G 710: witch 339, Jeannon femme Georgeon Gr",15,0.6862745098039216,degree,1630-1634
Vosges G 710: witch 339,2,0.0,degree,1630-1634
Jeannon femme Georgeon Grand Didier,2,0.0,degree,1630-1634
de la Rochatte,2,0.0,degree,1630-1634
Jacques Simon,1,0.0,degree,1630-1634
Nicolas Honin,1,0.0,degree,1630-1634
Nicolas Grand Simon,1,0.0,degree,1630-1634
Margueritte femme Durand Demenge Durand,1,0.0,degree,1630-1634
Epne femme Demenge Thiebault,1,0.0,degree,1630-1634
Anne femme Jacques Simon,1,0.0,degree,1630-1634
Demenge Jean Didier,1,0.0,betweenness,1630-1634
Jannon femme Claude Louys,1,0.0,betweenness,1630-1634
Marguitte femme Jean Charpentier,1,0.0,betweenness,1630-1634
"Vosges 3 C 239; Witch 340, Pierrotte Roy femme Nic",37,0.8538461538461538,degree,1645-1649
Vosges 3 C 239; Witch 340,2,0.0,degree,1645-1649
Pierrotte Roy femme Nicolas Martin,2,0.0,degree,1645-1649
de Badonviller.,2,0.0,degree,1645-1649
Dominique Martin fils de la prevenue,1,0.0,degree,1645-1649
Barbe Petit,1,0.0,degree,1645-1649
Anne Marie femme Dieudonné Louys,1,0.0,degree,1645-1649
Elizabeth Choppat,1,0.0,degree,1645-1649
Catherine femme Claudon Bieque,1,0.0,degree,1645-1649
Claudon Bieque,1,0.0,degree,1645-1649
Jean Martin,1,0.0,betweenness,1645-1649
Claudin le Clerc,1,0.0,betweenness,1645-1649
Le sieur Gille Ferry,1,0.0,betweenness,1645-1649
