node,n_neighbors,accused_neighbors,exposure_ratio,is_accused
Nicolas Mariatte le jeune de Reillon,10,1,0.1,0
Thierion Thierion,1,0,0.0,0
Izabel veuve Didier Barizien,10,1,0.1,0
Dedille femme Colas Claude Gerard de Brehimont,1,1,1.0,0
Aulbry Austett,1,0,0.0,0
Toussainct Friche,1,1,1.0,0
Mengin Sauffroy labouraur de Brantigny,10,1,0.1,0
Sebille fille de feu Harmant Aulbry de Charmes,5,1,0.2,0
Idatte veuve de Didier Gregy de Rugney,8,1,0.125,0
Francois Naville paistre des menues bestes de Cond,10,1,0.1,0
Curien fils de Claudon Jean Claudon du Vivier,1,1,1.0,0
"B 3323 no 5; witch 029, Mathieu Margeron de Leintr",7,0,0.0,1
Didier Pinel,1,0,0.0,0
Jean Thiebauld Michiel de Quebrux,6,1,0.16666666666666666,0
Peirecte Maillart,4,0,0.0,0
Honnble Gabriel Mercier,4,1,0.25,0
Sibille femme Demenge Brouvellant,1,1,1.0,0
Nicolas Colin,1,0,0.0,0
Husson,1,0,0.0,0
de la Neuveville-les-,2,0,0.0,0
Nicolas Charrey,2,1,0.5,0
Barbeline veuve Demenge Henriot,10,1,0.1,0
Barbey,1,0,0.0,0
Claudot Cabled de la Neufville,1,1,1.0,0
Claudot Henry,10,1,0.1,0
Jennon femme Francois Cabuche,1,1,1.0,0
François Pelletier le jeune,10,1,0.1,0
Jennon veuve Claudon Aulbry,1,1,1.0,0
Jennon femme Jean Diez,10,1,0.1,0
Pieron Bocatte d'Essegney,1,1,1.0,0
Pierrot Poullet sergent,9,1,0.1111111111111111,0
Cretaille Estienne manouvrier,9,0,0.0,0
Claude Guerry,1,0,0.0,0
Margueritte femme Cesar le Charpentier,2,0,0.0,0
Sebille Cloutier veuve Colas Bourdaine,1,1,1.0,0
Marguitte femme Didier Seigaire,10,1,0.1,0
B 8667 No 3 Witch 141,1,0,0.0,0
Mengette femme a Jacquette Blaise du Viel Marché,1,1,1.0,0
Margueritte femme Jean Fercquel de Bathelemont,1,1,1.0,0
Jean de la Houtte de Laistre,1,1,1.0,0
Jehan Simon,10,1,0.1,0
Perrin Boulengier laboureur de St. Prancher,1,1,1.0,0
Jean Collusse demeurant a Ranfaing,10,1,0.1,0
Didielle femme du precedent,5,1,0.2,0
Hans Duscher,1,0,0.0,0
Antoine Masson de Dompierre,1,1,1.0,0
Gerard Toussains,1,0,0.0,0
Gergonne Guenaire,10,1,0.1,0
Le maire Nicolas George de Moriviller,1,1,1.0,0
Paul Jenin,10,1,0.1,0
Catherine femme Demenge Chevallier de Rozieres,7,1,0.14285714285714285,0
Jean Bertrand,5,3,0.6,0
Colas Andreu,1,0,0.0,0
Demenge Phelice,1,0,0.0,0
de Rozieres,4,0,0.0,0
Bertremin Michel Flandrey du Faing,1,1,1.0,0
Jennon femme Claudon Xanrey,1,1,1.0,0
Jehennon veuve Claudon Roze de la Rochatte,10,1,0.1,0
B 5344 no 4; Witch 101,1,0,0.0,0
Jean Tixerand,1,1,1.0,0
B 8979 no 5; witch 328,3,0,0.0,0
Georgeon Grand,2,0,0.0,0
"B 3335 no 2; witch 044, Hellenix femme Barthelemin",14,0,0.0,1
Thomas Lucker,1,0,0.0,0
Vincent Laurent of Entre-deux-Eaux,1,1,1.0,0
Jean Jantaire,1,0,0.0,0
Annon femme de noble homme Gille Padoulx,1,1,1.0,0
B 8682 no 1; witch 179,2,0,0.0,0
Marguitte veuve Florentin Maron de St Remy,1,1,1.0,0
Agnel,2,0,0.0,0
Magdelaine Mathis,1,1,1.0,0
Jean Petit Jean laboureur de St. Prancher,1,1,1.0,0
Odille,9,1,0.1111111111111111,0
