source,target,relationship
Jean Claude Jean Mengenot,"B 8687 no 2; witch 200, Marguitte femme Jean Jacquot, de la Vacherie",TESTIFIED_AGAINST
Barbe femme Thierion Thierion,"B 8979 no 4; witch 327, Mengeotte Gourdot, femme Jean Pierre Cordier de St Nicolas",TESTIFIED_AGAINST
Gurien Marie de la Chapelle,"Witch 160: B8677 no 6, Blasotte femme Claudon Collon de La Chapelle",TESTIFIED_AGAINST
Noel Warin,"B 2203 no 2; witch 010, Jean Parmentier, de Champegnoult",TESTIFIED_AGAINST
Elizabethe femme Nicolas Bouchier de Bathelemont,"B 5769; witch 106, Babillon femme Claudon Girard de Bathelemont-les-Bauzemont",TESTIFIED_AGAINST
Mengeon Napuel,"B 8693 no 4; witch 233, Claude Colin Michiel dit Bejolley, de Wisembach",TESTIFIED_AGAINST
Claudon des Rechez,"B 8700 no 1; witch 236, Colatte femme Colas Bertrand, du Vic, Ban-le-Duc de Clefcy",TESTIFIED_AGAINST
Claudatte fille feu Jean Demenge Perry,"B 8678 no 3; witch 170, Demenge Milan, de Remomeix",TESTIFIED_AGAINST
Claudon Gobel laboureur de St. Prancher,"B 4500 no 1 Witch 083, Jean et Claudin Aulbry",TESTIFIED_AGAINST
Nicolas Braconnier,"B 7326; witch 123, Isabillon femme Jean Parmentier, de la Neufville-devant-Nancy",TESTIFIED_AGAINST
Wautrin Fenestrier,"B 8961 no 1. Witch 323, Claudon veuve Mengin Wannier, de St Nicolas",TESTIFIED_AGAINST
Mengeotte femme Colas Ratonge,"B 8717 no 1; witch 284, Jennon femme Claudon Hennemant de La Vacherie (S.",TESTIFIED_AGAINST
Nicolas Mariatte le jeune de Reillon,"B 3327 no 4; Witch 040, Nicolas Raimbault de Reillon",TESTIFIED_AGAINST
Izabel veuve Didier Barizien,"B 2199 no 4; witch 139, Mariette veuve Claude Malfourby, d'Amance",TESTIFIED_AGAINST
Dedille femme Colas Claude Gerard de Brehimont,"B 8712 no 5; witch 276, Dieudonné Jean Thierion, of Brehimont",TESTIFIED_AGAINST
Toussainct Friche,"B 2192 no 2, witch 003, Claudon femme Jean Bregeat, de Sallonne",TESTIFIED_AGAINST
Mengin Sauffroy labouraur de Brantigny,"B 4126 no 2 Witch 079, Claudon du Puy",TESTIFIED_AGAINST
Sebille fille de feu Harmant Aulbry de Charmes,"B 4077 no 2 Witch 070, Claudon la Romaine",TESTIFIED_AGAINST
Idatte veuve de Didier Gregy de Rugney,"B 4126 no 1 Witch 078, François Perin",TESTIFIED_AGAINST
Francois Naville paistre des menues bestes de Condé,"B 4998; witch 090, Gillette veuve Bastien Jean Page, de Condé (Custines)",TESTIFIED_AGAINST
Curien fils de Claudon Jean Claudon du Vivier,"B 8712 no 6; witch 277, Claudon Marchal du Vivier",TESTIFIED_AGAINST
Jean Thiebauld Michiel de Quebrux,"B 8675 no 1; witch 154, Gregoire Mathiel de Bertrimoutier",TESTIFIED_AGAINST
Honnble Gabriel Mercier,"B 8724 no 4. Witch 304, Anthoinette femme Didier Chaudron, de Raon",TESTIFIED_AGAINST
Sibille femme Demenge Brouvellant,"B 8687 no 5; witch 203, Dieudonnée femme Pierre Chrestien de Moriviller",TESTIFIED_AGAINST
Nicolas Charrey,"B 8707 no 2; witch 254, Bastien Stablo de la Bolle",TESTIFIED_AGAINST
Barbeline veuve Demenge Henriot,"B 3358; witch 050, Jehenne femme Joseph de la Moictresse, de Nutting",TESTIFIED_AGAINST
Claudot Cabled de la Neufville,"B 4500 no 3 Witch 085, Jacquotte Gardeux et Marie Canot",TESTIFIED_AGAINST
Claudot Henry,"B 7279; witch 118, Catherine Claude d'Azelot",TESTIFIED_AGAINST
Jennon femme Francois Cabuche,"B 8693 no 4; witch 233, Claude Colin Michiel dit Bejolley, de Wisembach",TESTIFIED_AGAINST
