canonical_id,canonical_name,num_trials,gender,became_accused,outcome,degree,betweenness_centrality,pagerank,closeness_centrality
E02203,jean forgeat,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02192,idoult jané,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E02498,claudon colas colin,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02717,didier henry,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E02488,georgeon claudon noel,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02036,claudon hermemant,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01793,claudon le clerc,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02312,jean bertrand,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02024,colas ferry,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02421,didier chottey,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E02078,claudatte claudon ferry,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E02003,jean dieudonné,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01970,jean colin remy,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02193,valentin jané,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E01945,michiel ratonge witch,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E01941,nicolas thomas,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01940,mengey,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02381,margueritte chrestofle l'huillier,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E02093,mengeon galdrimey,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E02429,chretien brabant,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E01888,jean charpentier,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02472,claudon colas le vieulx homme,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01866,thoussainct gomay,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E01865,thoussaince,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E02318,jean diez gaixatte,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02120,anne jean canot,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E02134,lucas mongin,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E01848,lienard adam,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E02034,mengeon clau,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02479,beniste claudon renouard,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E02487,didier claudon noel,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01951,claudon hennemant,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00727,jennon femme,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E01707,mongeatte a noel george,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E01705,jean valtin,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00604,claudon bastien,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00579,jean parmentier,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00577,nicolas anoulx,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00551,jean andreu,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00541,anne clau,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00517,barbe jean,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00499,didie,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00470,hellenix dieudonné marchal,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00415,henry mulnier,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E00393,colas jean mongeatte,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00387,anne,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00382,hannix,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00354,nicolas simon,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00343,zabel jean mongeot,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00336,nicolas chartier,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00317,jean cherrier cordonnier bourgeois,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00292,jean anthoine maillot,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00288,henry jan,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00259,jean gerard domecourt,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00257,nicolas feu mathieu la breuche,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00218,mongeotte veuve,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00213,marion veuve,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00189,claude,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00149,jeanne michiel godar,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00139,didier grand didier,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E00131,claudatte george nicolas marchal,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00099,catherine nicolas villaume,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00073,odille claudin thieriat,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00052,jean perrin,3,male,True,death_sentence,0,0.0,1.905778319927924e-05,0.0
E00639,mengeon phillippe masson 2 years before her daughter jacquette became ill,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00699,georgeon prevost,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00701,claudon ferry,3,male,False,,0,0.0,1.905778319927924e-05,0.0
